attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url,altered_tag,sha_before_alteration,old_snap_timestamp,sha_after_alteration,alteration_detected_at,first_commit_date,last_commit_date,primary_path,nixpkg_before_alteration,nixpkg_before_old_snap,days_from_first_commit_to_alteration
python3Packages.chipwhisperer,chipwhisperer,5.7.0,fetchFromGitHub,https://github.com/newaetech/chipwhisperer,newaetech,chipwhisperer,refs/tags/5.7.0,tag,sha256-C7QP044QEP7vmz1lMseLtMTYoKn5SoFV/q9URY7yQ6I=,https://github.com/newaetech/chipwhisperer/archive/refs/tags/5.7.0.tar.gz,refs/tags/5.7.0,swh:1:snp:601e7372a41b7d9c80991eaa50b10b5091fd5e3a,2023-01-19 11:08:40+00:00,swh:1:snp:e979764ff41fda683e6618b89cf756025d7828a2,2025-02-03 21:02:02+00:00,,,,False,False,
python3Packages.e3-testsuite,e3-testsuite,27.2,fetchFromGitHub,https://github.com/AdaCore/e3-testsuite,AdaCore,e3-testsuite,refs/tags/v27.2,tag,sha256-qG8SHwogBle3demgFJCqcfCh5ktLvOqh2XSwxPCANFk=,https://github.com/AdaCore/e3-testsuite/archive/refs/tags/v27.2.tar.gz,refs/tags/v27.2,swh:1:snp:23604b488b31f7da30b22192216f23e210dde682,2025-06-23 18:52:03+00:00,swh:1:snp:79fac011d69f6d5554eb5a07804ddba654ff155a,2025-07-05 01:56:15+00:00,,,,False,False,
python3Packages.geometric,geometric,1.1,fetchFromGitHub,https://github.com/leeping/geomeTRIC,leeping,geomeTRIC,refs/tags/1.1,tag,sha256-hxNzyuupktUWDzZXXJNsVoC6m/kyE1fbfY5K6LiO+x0=,https://github.com/leeping/geomeTRIC/archive/refs/tags/1.1.tar.gz,refs/tags/1.1,swh:1:snp:7c9abf1b09c28e6ab4d9b8b4d6609d47ee144a0a,2025-01-29 02:49:55+00:00,swh:1:snp:88f899c245e4b0b05a3fb71c924f75673b823d86,2025-02-03 04:02:36+00:00,,,,False,False,
python3Packages.hf-transfer,hf-transfer,0.1.9,fetchFromGitHub,https://github.com/huggingface/hf_transfer,huggingface,hf_transfer,refs/tags/v0.1.9,tag,sha256-mcU3YuJVfuwBvtLfqceV3glcJcpjSX7M3VjvbvLCxZg=,https://github.com/huggingface/hf_transfer/archive/refs/tags/v0.1.9.tar.gz,refs/tags/v0.1.9,swh:1:snp:1b6157277a9f46dc0d790075115702c778032eb6,2025-01-07 05:46:12+00:00,swh:1:snp:06278f6b2d19dac71bad6c230c359602e2c89578,2025-01-20 07:52:10+00:00,,,,False,False,
python3Packages.hjson,hjson,3.0.2,fetchFromGitHub,https://github.com/hjson/hjson-py,hjson,hjson-py,refs/tags/v3.0.2,tag,sha256-VrCLHfXShF45IEhGVQpryBzjxreQEunyghazDNKRh8k=,https://github.com/hjson/hjson-py/archive/refs/tags/v3.0.2.tar.gz,refs/tags/v3.0.2,swh:1:snp:a3c9fe9e15d0d0a2f034f32a34ae532e2e7a5401,2017-05-31 22:41:52+00:00,swh:1:snp:df15422b759ba5df754d320652a980a21de54112,2021-01-09 01:07:31+00:00,,,,False,False,
rhino,rhino,1.8.0,fetchFromGitHub,https://github.com/mozilla/rhino,mozilla,rhino,refs/tags/Rhino1_8_0_Release,tag,sha256-H8DbcRPMm4SKmGf40dXnjGeEbbj9COzdHgUIkcCimTM=,https://github.com/mozilla/rhino/archive/refs/tags/Rhino1_8_0_Release.tar.gz,refs/tags/Rhino1_8_0_Release,swh:1:snp:7f1280709bc2ef50b192ddab377a5025d4efd40f,2024-12-31 04:06:48+00:00,swh:1:snp:1f255d8c2f925c41ff8846bb569a388b9ad7c94b,2025-01-09 18:52:53+00:00,2025-10-02 01:38:41+00:00,2025-10-02 01:38:41+00:00,pkgs/by-name/rh/rhino/deps.json,False,False,-265.28180555555554
rita,rita,4.8.1,fetchFromGitHub,https://github.com/activecm/rita,activecm,rita,refs/tags/v4.8.1,tag,sha256-By0JvQ4LTm+NEnRMadE1x2PiiYqnJQCsF3Fy+gHulXs=,https://github.com/activecm/rita/archive/refs/tags/v4.8.1.tar.gz,refs/tags/v4.8.1,swh:1:snp:d73403094f9fe71651bd72c282886030e2edebf4,2023-12-15 18:50:20+00:00,swh:1:snp:26c8ad8119e5a381369018840b664fadd44b05fd,2024-07-12 02:28:59+00:00,2023-12-07 10:17:39+00:00,2025-06-06 19:58:04+00:00,pkgs/by-name/ri/rita/package.nix,True,True,217.67453703703703
shelldap,shelldap,1.5.1,fetchFromGitHub,https://github.com/mahlonsmith/shelldap,mahlonsmith,shelldap,refs/tags/v1.5.1,tag,sha256-67ttAXzu9pfeqjfhMfLMb9vWCXTrE+iUDCbamqswaLg=,https://github.com/mahlonsmith/shelldap/archive/refs/tags/v1.5.1.tar.gz,refs/tags/v1.5.1,swh:1:snp:b476a46c2e1e4a8989ad68ae92501d97f1dd520a,2020-07-15 19:07:33+00:00,swh:1:snp:eefd1c6e61435a3390c868c28ac4daa82b7c14c3,2025-07-09 19:17:13+00:00,2024-11-09 12:04:51+00:00,2025-06-06 19:58:04+00:00,pkgs/by-name/sh/shelldap/package.nix,True,False,242.30025462962962
smplayer,smplayer,25.6.0,fetchFromGitHub,https://github.com/smplayer-dev/smplayer,smplayer-dev,smplayer,refs/tags/v25.6.0,tag,sha256-txGz6v9hkvnrmVmBHsi1B2eC/iNT1tg4dU5AcMsSCic=,https://github.com/smplayer-dev/smplayer/archive/refs/tags/v25.6.0.tar.gz,refs/tags/v25.6.0,swh:1:snp:3a4eea037a412a568bc397c1d004033af8d3957d,2025-06-09 01:45:26+00:00,swh:1:snp:26cdea33dc097fb047b61877006915f7d66658ec,2025-06-21 08:54:34+00:00,2024-05-13 20:33:06+00:00,2025-09-01 11:00:13+00:00,pkgs/by-name/sm/smplayer/package.nix,True,True,403.5149074074074
softflowd,softflowd,1.1.1,fetchFromGitHub,https://github.com/irino/softflowd,irino,softflowd,refs/tags/softflowd-v1.1.1,tag,sha256-qWHwkXT1Lw8fe9nELaMB6EzAnNxsDvxiLWH3AacVZeA=,https://github.com/irino/softflowd/archive/refs/tags/softflowd-v1.1.1.tar.gz,refs/tags/softflowd-v1.1.1,swh:1:snp:3bd1da1a502451280ad4dd5a593294ff116b5314,2025-02-19 11:51:12+00:00,swh:1:snp:a0297213fdff3690e2a35a5b02ae215592604f78,2025-03-12 22:00:42+00:00,2025-02-06 11:48:06+00:00,2025-02-06 11:48:06+00:00,pkgs/by-name/so/softflowd/package.nix,True,True,34.42541666666666
sqlitebrowser,sqlitebrowser,3.13.1,fetchFromGitHub,https://github.com/sqlitebrowser/sqlitebrowser,sqlitebrowser,sqlitebrowser,refs/tags/v3.13.1,tag,sha256-bpZnO8i8MDgOm0f93pBmpy1sZLJQ9R4o4ZLnGfT0JRg=,https://github.com/sqlitebrowser/sqlitebrowser/archive/refs/tags/v3.13.1.tar.gz,refs/tags/v3.13.1,swh:1:snp:a42f4af9d86fb1f42bf5dd5e931fb29b0a97cfb0,2024-11-05 09:38:32+00:00,swh:1:snp:e35a10be909403f5c27f762d717fd7898d6ce154,2025-01-21 21:46:22+00:00,2025-08-05 16:29:58+00:00,2025-08-05 16:29:58+00:00,pkgs/by-name/sq/sqlitebrowser/macos.patch,False,False,-195.78027777777777
superlu,superlu,7.0.1,fetchFromGitHub,https://github.com/xiaoyeli/superlu,xiaoyeli,superlu,refs/tags/v7.0.1,tag,sha256-MiQPhYIGZbvmtpIojrNzTG4Xao7lc4Ks/FtxlfdAKmQ=,https://github.com/xiaoyeli/superlu/archive/refs/tags/v7.0.1.tar.gz,refs/tags/v7.0.1,swh:1:snp:8858c4591ec090b4d713167bac277f09959a92e5,2025-04-28 14:53:33+00:00,swh:1:snp:85a93cd0a374875828d8d50e58336e07e91c06b3,2025-05-09 19:06:20+00:00,2024-11-09 12:04:51+00:00,2025-10-04 01:02:59+00:00,pkgs/by-name/su/superlu/package.nix,True,True,181.29269675925926
trezord,trezord-go,2.0.33,fetchFromGitHub,https://github.com/trezor/trezord-go,trezor,trezord-go,refs/tags/v2.0.33,tag,sha256-3I6NOzDMhzRyVSOURl7TjJ1Z0P0RcKrSs5rNaZ0Ho9M=,,refs/tags/v2.0.33,swh:1:snp:a7e3e0f75f8f713b5fc5a3a181e4431ec94eff92,2023-04-18 10:48:51+00:00,swh:1:snp:bf7a93067f39bb32e4597532bd5e9dc8ab5b8882,2023-04-26 01:49:13+00:00,2017-02-08 16:18:22+00:00,2026-01-16 18:24:32+00:00,nixos/modules/services/hardware/trezord.nix,True,True,2267.396423611111
wifi-qr,wifi-qr,0.4,fetchFromGitHub,https://github.com/kokoye2007/wifi-qr,kokoye2007,wifi-qr,refs/tags/v0.4,tag,sha256-tE+9bFDgiFS1Jj+AAwTMKjMh5wS5/gkRSQaCBR/riYQ=,https://github.com/kokoye2007/wifi-qr/archive/refs/tags/v0.4.tar.gz,refs/tags/v0.4,swh:1:snp:71cee1001d42903a37aaea0a9a99b8aade2545ba,2024-12-22 00:43:54+00:00,swh:1:snp:9bfe1780a229a16d06913337ea0f73e69b6a07e9,2025-01-22 15:04:32+00:00,2023-11-07 17:20:58+00:00,2025-05-01 00:27:49+00:00,pkgs/by-name/wi/wifi-qr/package.nix,True,True,441.9052546296296
wifi-qr,wifi-qr,0.4,fetchFromGitHub,https://github.com/kokoye2007/wifi-qr,kokoye2007,wifi-qr,refs/tags/v0.4,tag,sha256-tE+9bFDgiFS1Jj+AAwTMKjMh5wS5/gkRSQaCBR/riYQ=,https://github.com/kokoye2007/wifi-qr/archive/refs/tags/v0.4.tar.gz,refs/tags/v0.4,swh:1:snp:9bfe1780a229a16d06913337ea0f73e69b6a07e9,2025-01-22 15:04:32+00:00,swh:1:snp:f423158debbc3f5ee55214804281581d8f2b7ba6,2025-02-21 06:13:21+00:00,2023-11-07 17:20:58+00:00,2025-05-01 00:27:49+00:00,pkgs/by-name/wi/wifi-qr/package.nix,True,True,471.53637731481484
